2026-03-04 18:06:38 | WARNING | ⚠ treino_mk1 — erro no ticker AXP: Invalid classes inferred from unique values of `y`.  Expected: [0 1 2], got [-1  0  1]
2026-03-04 18:06:38 | WARNING | ⚠ treino_mk1 — erro no ticker AMGN: Invalid classes inferred from unique values of `y`.  Expected: [0 1 2], got [-1  0  1]
2026-03-04 18:06:38 | WARNING | ⚠ treino_mk1 — erro no ticker T: Invalid classes inferred from unique values of `y`.  Expected: [0 1], got [-1  0]
2026-03-04 18:06:38 | WARNING | ⚠ treino_mk1 — erro no ticker ABT: Invalid classes inferred from unique values of `y`.  Expected: [0 1], got [-1  0]
2026-03-04 18:06:38 | WARNING | ⚠ treino_mk1 — erro no ticker C: Invalid classes inferred from unique values of `y`.  Expected: [0 1 2], got [-1  0  1]
2026-03-04 18:06:38 | WARNING | ⚠ treino_mk1 — erro no ticker KLAC: Invalid classes inferred from unique values of `y`.  Expected: [0 1], got [-1  0]
2026-03-04 18:06:38 | WARNING | ⚠ treino_mk1 — erro no ticker NEE: Invalid classes inferred from unique values of `y`.  Expected: [0 1], got [-1  0]
2026-03-04 18:06:38 | WARNING | ⚠ treino_mk1 — erro no ticker TMO: Invalid classes inferred from unique values of `y`.  Expected: [0 1], got [-1  0]
2026-03-04 18:06:38 | WARNING | ⚠ treino_mk1 — erro no ticker TXN: Invalid classes inferred from unique values of `y`.  Expected: [0 1], got [-1  0]
2026-03-04 18:06:38 | WARNING | ⚠ treino_mk1 — erro no ticker DIS: Invalid classes inferred from unique values of `y`.  Expected: [0 1 2], got [-1  0  1]
2026-03-04 18:06:38 | WARNING | ⚠ treino_mk1 — erro no ticker GILD: Invalid classes inferred from unique values of `y`.  Expected: [0 1 2], got [-1  0  1]
2026-03-04 18:06:38 | WARNING | ⚠ treino_mk1 — erro no ticker CRM: Invalid classes inferred from unique values of `y`.  Expected: [0 1 2], got [-1  0  1]
2026-03-04 18:06:38 | WARNING | ⚠ treino_mk1 — erro no ticker TJX: Invalid classes inferred from unique values of `y`.  Expected: [0 1], got [-1  0]
2026-03-04 18:06:38 | WARNING | ⚠ treino_mk1 — erro no ticker ISRG: Invalid classes inferred from unique values of `y`.  Expected: [0 1 2], got [-1  0  1]
2026-03-04 18:06:39 | WARNING | ⚠ treino_mk1 — erro no ticker BA: Invalid classes inferred from unique values of `y`.  Expected: [0 1], got [-1  0]
2026-03-04 18:06:39 | WARNING | ⚠ treino_mk1 — erro no ticker SCHW: Invalid classes inferred from unique values of `y`.  Expected: [0 1 2], got [-1  0  1]
2026-03-04 18:06:39 | WARNING | ⚠ treino_mk1 — erro no ticker DE: Invalid classes inferred from unique values of `y`.  Expected: [0 1], got [-1  0]
2026-03-04 18:06:39 | WARNING | ⚠ treino_mk1 — erro no ticker ADI: Invalid classes inferred from unique values of `y`.  Expected: [0 1 2], got [-1  0  1]
2026-03-04 18:06:39 | WARNING | ⚠ treino_mk1 — erro no ticker ANET: Invalid classes inferred from unique values of `y`.  Expected: [0 1 2], got [-1  0  1]
2026-03-04 18:06:39 | WARNING | ⚠ treino_mk1 — erro no ticker BLK: Invalid classes inferred from unique values of `y`.  Expected: [0 1 2], got [-1  0  1]
2026-03-04 18:06:39 | WARNING | ⚠ treino_mk1 — erro no ticker APH: Invalid classes inferred from unique values of `y`.  Expected: [0 1], got [-1  0]
2026-03-04 18:06:39 | WARNING | ⚠ treino_mk1 — erro no ticker UBER: Invalid classes inferred from unique values of `y`.  Expected: [0 1 2], got [-1  0  1]
2026-03-04 18:06:39 | WARNING | ⚠ treino_mk1 — erro no ticker APP: Invalid classes inferred from unique values of `y`.  Expected: [0 1 2], got [-1  0  1]
2026-03-04 18:06:39 | WARNING | ⚠ treino_mk1 — erro no ticker UNP: Invalid classes inferred from unique values of `y`.  Expected: [0 1 2], got [-1  0  1]
2026-03-04 18:06:39 | WARNING | ⚠ treino_mk1 — erro no ticker HON: Invalid classes inferred from unique values of `y`.  Expected: [0 1], got [-1  0]
2026-03-04 18:06:39 | WARNING | ⚠ treino_mk1 — erro no ticker LMT: Invalid classes inferred from unique values of `y`.  Expected: [0 1], got [-1  0]
2026-03-04 18:06:39 | WARNING | ⚠ treino_mk1 — erro no ticker PFE: Invalid classes inferred from unique values of `y`.  Expected: [0 1 2], got [-1  0  1]
2026-03-04 18:06:39 | WARNING | ⚠ treino_mk1 — erro no ticker QCOM: Invalid classes inferred from unique values of `y`.  Expected: [0 1 2], got [-1  0  1]
2026-03-04 18:06:39 | WARNING | ⚠ treino_mk1 — erro no ticker SYK: Invalid classes inferred from unique values of `y`.  Expected: [0 1], got [-1  0]
2026-03-04 18:06:39 | WARNING | ⚠ treino_mk1 — erro no ticker LOW: Invalid classes inferred from unique values of `y`.  Expected: [0 1], got [-1  0]
2026-03-04 18:06:39 | WARNING | ⚠ treino_mk1 — erro no ticker DHR: Invalid classes inferred from unique values of `y`.  Expected: [0 1], got [-1  0]
2026-03-04 18:06:39 | WARNING | ⚠ treino_mk1 — erro no ticker WELL: Invalid classes inferred from unique values of `y`.  Expected: [0 1], got [-1  0]
2026-03-04 18:06:39 | WARNING | ⚠ treino_mk1 — erro no ticker COP: Invalid classes inferred from unique values of `y`.  Expected: [0 1], got [-1  0]
2026-03-04 18:06:39 | WARNING | ⚠ treino_mk1 — erro no ticker ETN: Invalid classes inferred from unique values of `y`.  Expected: [0 1], got [-1  0]
2026-03-04 18:06:39 | WARNING | ⚠ treino_mk1 — erro no ticker BKNG: Invalid classes inferred from unique values of `y`.  Expected: [0 1], got [-1  0]
2026-03-04 18:06:39 | WARNING | ⚠ treino_mk1 — erro no ticker SPGI: Invalid classes inferred from unique values of `y`.  Expected: [0 1 2], got [-1  0  1]
2026-03-04 18:06:39 | WARNING | ⚠ treino_mk1 — erro no ticker ACN: Invalid classes inferred from unique values of `y`.  Expected: [0 1], got [-1  0]
2026-03-04 18:06:39 | WARNING | ⚠ treino_mk1 — erro no ticker NEM: Invalid classes inferred from unique values of `y`.  Expected: [0 1 2], got [-1  0  1]
2026-03-04 18:06:39 | WARNING | ⚠ treino_mk1 — erro no ticker CB: Invalid classes inferred from unique values of `y`.  Expected: [0 1], got [-1  0]
2026-03-04 18:06:39 | WARNING | ⚠ treino_mk1 — erro no ticker PANW: Invalid classes inferred from unique values of `y`.  Expected: [0 1 2], got [-1  0  1]
2026-03-04 18:06:39 | WARNING | ⚠ treino_mk1 — erro no ticker PLD: Invalid classes inferred from unique values of `y`.  Expected: [0 1], got [-1  0]
2026-03-04 18:06:39 | WARNING | ⚠ treino_mk1 — erro no ticker BMY: Invalid classes inferred from unique values of `y`.  Expected: [0 1 2], got [-1  0  1]
2026-03-04 18:06:39 | WARNING | ⚠ treino_mk1 — erro no ticker GLW: Invalid classes inferred from unique values of `y`.  Expected: [0 1 2], got [-1  0  1]
2026-03-04 18:06:39 | WARNING | ⚠ treino_mk1 — erro no ticker PH: Invalid classes inferred from unique values of `y`.  Expected: [0 1 2], got [-1  0  1]
2026-03-04 18:06:39 | WARNING | ⚠ treino_mk1 — erro no ticker PGR: Invalid classes inferred from unique values of `y`.  Expected: [0 1], got [-1  0]
2026-03-04 18:06:39 | WARNING | ⚠ treino_mk1 — erro no ticker MDT: Invalid classes inferred from unique values of `y`.  Expected: [0 1], got [-1  0]
