Símbolo,Setor,Indústria,Preço Atual,Preço Máximo 52 Semanas,Preço Mínimo 52 Semanas,Volume Médio Diário
BR,Technology,Information Technology Services,173.01,271.91,163.71,2141560
INCY,Healthcare,Biotechnology,100.96,112.29,53.56,2174250
NTAP,Technology,Software - Infrastructure,101.5,127.78,71.84,2459710
ALB,Basic Materials,Specialty Chemicals,168.97,195.69,49.43,3027860
SNA,Industrials,Tools & Accessories,381.56,390.13,289.81,496160
PFG,Financial Services,Asset Management,90.92,97.88,68.39,1760420
EXPD,Industrials,Integrated Freight & Logistics,147.27,167.19,100.47,2188080
VRSN,Technology,Software - Infrastructure,214.82,310.6,208.86,1156780
LII,Industrials,Building Products & Equipment,564.25,689.44,443.19,571560
WY,Real Estate,REIT - Specialty,26.855,31.66,21.16,7307100
GPN,Industrials,Specialty Business Services,69.2,107.27,65.93,3843560
ZBH,Healthcare,Medical Devices,97.14,114.44,84.59,2748070
CSGP,Real Estate,Real Estate Services,44.755,97.43,43.8,8081630
EVRG,Utilities,Utilities - Regulated Electric,81.82,83.19,61.94,2121990
MKC,Consumer Defensive,Packaged Foods,68.79,86.24,59.62,4026240
LNT,Utilities,Utilities - Regulated Electric,71.37,72.255,57.09,2952290
SMCI,Technology,Computer Hardware,30.3601,66.44,27.6,42321590
PTC,Technology,Software - Application,152.345,219.69,133.38,1724700
VTRS,Healthcare,Drug Manufacturers - Specialty & Generic,15.725,16.3,6.85,11654670
LYB,Basic Materials,Specialty Chemicals,56.19,78.52,41.58,7009400
GPC,Consumer Cyclical,Auto Parts,128.0,151.57,104.01,1193890
BALL,Consumer Cyclical,Packaging & Containers,66.74,68.29,43.51,3188480
FTV,Technology,Scientific & Technical Instruments,56.95,62.788242,45.504898,6817470
APTV,Consumer Cyclical,Auto Parts,83.04,88.93,47.19,2411020
WST,Healthcare,Medical Instruments & Supplies,244.855,322.34,187.43,1350720
TXT,Industrials,Aerospace & Defense,100.16,100.92,57.7,2194380
PODD,Healthcare,Medical Devices,247.54,354.88,230.05,1014450
HPQ,Technology,Computer Hardware,18.775,35.28,18.26,22700090
HOLX,Healthcare,Medical Instruments & Supplies,75.125,75.36,51.9,2784680
MRNA,Healthcare,Biotechnology,42.82,55.2,22.28,11049660
TKO,Communication Services,Entertainment,209.83,218.11,133.07,778120
NDSN,Industrials,Specialty Industrial Machinery,297.31,300.79,165.03,493500
INVH,Real Estate,REIT - Residential,26.965,35.799,25.29,6588680
DECK,Consumer Cyclical,Footwear & Accessories,116.46,156.6,78.91,2849410
PNR,Industrials,Specialty Industrial Machinery,99.95,113.95,74.25,2787900
HII,Industrials,Aerospace & Defense,414.0,436.14,164.69,712420
ESS,Real Estate,REIT - Residential,251.82,316.29,243.25,677240
CDW,Technology,Information Technology Services,124.74,194.99,120.52,2276790
COO,Healthcare,Medical Instruments & Supplies,81.89,92.84,61.78,1829590
AKAM,Technology,Software - Infrastructure,109.635,113.5,67.51,4310590
J,Industrials,Engineering & Construction,133.74,168.44,105.178215,1391930
TRMB,Technology,Scientific & Technical Instruments,65.855,87.5,52.91,2976100
MAA,Real Estate,REIT - Residential,133.96,173.38,125.75,1255200
IEX,Industrials,Specialty Industrial Machinery,208.57,217.16,153.36,1396940
MAS,Industrials,Building Products & Equipment,75.91,79.19,56.55,3854320
KIM,Real Estate,REIT - Retail,22.945,23.09,17.93,5692510
FFIV,Technology,Software - Infrastructure,271.07,346.0,223.76,695380
AVY,Consumer Cyclical,Packaging & Containers,194.6499,197.54,156.23,867230
ERIE,Financial Services,Insurance Brokers,286.685,456.93,267.4,199680
UHS,Healthcare,Medical Care Facilities,238.03,246.33,152.33,720790
CLX,Consumer Defensive,Household & Personal Products,122.655,159.04,96.66,2550340
CF,Basic Materials,Agricultural Inputs,93.645,104.45,67.34,1898010
HAS,Consumer Cyclical,Leisure,102.4999,106.98,49.0,3051570
ALLE,Industrials,Security & Protection Services,167.265,183.11,116.57,851040
BEN,Financial Services,Asset Management,27.205,28.32,16.25,6184550
SWK,Industrials,Tools & Accessories,90.585,93.37,53.91,2587980
EG,Financial Services,Insurance - Reinsurance,344.87,370.21,302.44,487100
REG,Real Estate,REIT - Retail,76.3051,78.18,63.44,1580980
GEN,Technology,Software - Infrastructure,22.95,32.22,22.14,9037490
HST,Real Estate,REIT - Hotel & Motel,20.075,20.33,12.22,7704750
BBY,Consumer Cyclical,Specialty Retail,65.869,91.68,54.99,4122170
BF.B,,,0.0,0.0,0.0,0
GNRC,Industrials,Specialty Industrial Machinery,232.385,232.695,99.5,1705890
ALGN,Healthcare,Medical Instruments & Supplies,187.93,208.31,122.0,1841010
TYL,Technology,Software - Application,306.46,647.11,283.72,1304220
HRL,Consumer Defensive,Packaged Foods,23.405,32.07,21.03,4273020
ZBRA,Technology,Communication Equipment,260.94,352.66,205.73,1039310
SOLV,Healthcare,Medical Instruments & Supplies,73.4686,88.2,60.7,1097510
DPZ,Consumer Cyclical,Restaurants,373.9699,500.55,370.7,987650
BLDR,Industrials,Building Products & Equipment,113.635,153.91,94.35,2711080
UDR,Real Estate,REIT - Residential,38.041,46.47,32.94,5281660
TTD,Communication Services,Advertising Agencies,25.46,91.45,24.845,16041630
PSKY,Communication Services,Entertainment,10.945,20.86,9.95,8478890
GDDY,Technology,Software - Infrastructure,88.66,193.55,87.13,2102260
WYNN,Consumer Cyclical,Resorts & Casinos,115.07,134.72,65.25,1970820
PNW,Utilities,Utilities - Regulated Electric,99.47,100.49,85.32,1200230
IVZ,Financial Services,Asset Management,26.49,29.61,11.6,7059760
DOC,Real Estate,REIT - Healthcare Facilities,16.8651,21.28,15.71,12083380
FOX,Communication Services,Entertainment,51.94,68.175,43.18,2103160
AES,Utilities,Utilities - Diversified,16.36,16.78,9.46,10825840
GL,Financial Services,Insurance - Life,144.515,152.71,109.38,556970
CPT,Real Estate,REIT - Residential,107.809,126.55,97.17,1579810
JKHY,Technology,Information Technology Services,159.24,196.0,144.12,1491390
FOXA,Communication Services,Entertainment,57.05,76.39,46.42,5750070
SJM,Consumer Defensive,Packaged Foods,106.43,121.48,93.3,1698530
AIZ,Financial Services,Insurance - Property & Casualty,219.92,246.31,174.97,594660
AOS,Industrials,Specialty Industrial Machinery,79.435,81.87,58.83,1521840
IT,Technology,Information Technology Services,153.61,517.06,139.18,2952120
RVTY,Healthcare,Diagnostics & Research,94.79,120.39,81.36,1768650
NCLH,Consumer Cyclical,Travel Services,23.38,27.41,14.21,23736400
BAX,Healthcare,Medical Instruments & Supplies,20.489,37.74,17.4,12377940
DVA,Healthcare,Medical Care Facilities,151.63,158.21,101.0,2124660
TAP,Consumer Defensive,Beverages - Brewers,51.43,64.66,42.94,3070710
APA,Energy,Oil & Gas E&P,27.2,28.56,13.58,6568620
BXP,Real Estate,REIT - Office,60.845,79.33,54.22,3048510
POOL,Industrials,Industrial Distribution,256.07,374.74,226.1,775420
SWKS,Technology,Semiconductors,61.9,90.9,47.93,4423010
TECH,Healthcare,Biotechnology,59.225,72.16,46.01,2906660
MOS,Basic Materials,Agricultural Inputs,29.145,38.23,22.36,5950660
ARE,Real Estate,REIT - Office,53.145,105.14,44.1,2235500
HSIC,Healthcare,Medical Distribution,78.06,82.8,60.56,1364680
FRT,Real Estate,REIT - Retail,105.33,108.54,80.65,926080
EPAM,Technology,Information Technology Services,164.34,269.0,138.15,1304800
CAG,Consumer Defensive,Packaged Foods,18.74,28.52,15.96,13074360
MGM,Consumer Cyclical,Resorts & Casinos,34.05,40.16,25.3,6276650
NWSA,Communication Services,Entertainment,22.985,31.61,22.2,6024130
CPB,Consumer Defensive,Packaged Foods,27.39,43.85,25.62,6302540
CRL,Healthcare,Diagnostics & Research,158.86,228.88,91.86,1226110
FDS,Financial Services,Financial Data & Stock Exchanges,190.405,474.79,188.635,1594680
MTCH,Communication Services,Internet Content & Information,29.78,39.2,26.39,6573290
MOH,Healthcare,Healthcare Plans,135.1,359.97,121.06,2977920
PAYC,Technology,Software - Application,122.7575,267.76,104.9,2345380
LW,Consumer Defensive,Packaged Foods,47.615,67.07,39.79,2593750
NWS,Communication Services,Entertainment,26.195,35.58,25.49,2110450
