Ticker,Setor,Indústria,Preço Atual,Preço Máximo 52 Semanas,Preço Mínimo 52 Semanas,Volume Médio Diário,Market Cap,P/L,P/L Futuro,P/VP,PEG Ratio,Margem Lucro,ROE,ROA,Crescimento Receita,Dividend Yield,Beta,Dívida/Patrimônio,Short Ratio
ABNB,Consumer Cyclical,Travel Services,125.8,145.69,99.88,6730310,75418861568,31.21588,21.631176,9.236418,,0.20513001,0.30233,0.07367,0.12,,1.139,27.698,4.19
CI,Healthcare,Healthcare Plans,280.945,350.0,239.51,1485090,75047665664,12.672305,8.392815,1.82757,,0.02167,0.1513,0.04034,0.104,2.2,0.283,75.137,3.09
GM,Consumer Cyclical,Auto Manufacturers,81.57,87.62,41.6,7855950,76093497344,24.944954,5.880453,1.2064784,,0.014579999,0.04318,0.02538,-0.051,0.9,1.365,208.299,2.53
TDG,Industrials,Aerospace & Defense,1294.005,1623.83,1183.6,341280,73077071872,41.5945,28.178827,-7.872657,,0.22239,,0.117819995,0.139,,0.895,,3.83
KMI,Energy,Oil & Gas Midstream,32.465,33.24,23.94,13129110,72228339712,23.69708,22.057575,2.3177698,,0.18043,0.09826,0.040960003,0.131,3.58,0.691,99.71,3.08
WBD,Communication Services,Entertainment,29.145,30.0,7.52,22018390,72264638464,153.39474,-262.78064,2.0043325,,0.01281,0.00969,0.01055,-0.06,,1.616,89.857,2.33
DASH,Consumer Cyclical,Internet Retail,166.495,285.5,155.4,9219620,71759093760,84.08838,21.256317,7.2063274,,0.06816,0.10439,0.03234,0.377,,1.795,32.749,3.15
ELV,Healthcare,Healthcare Plans,323.23,458.75,273.71,1344780,71338377216,12.816417,10.935538,1.6258318,,0.02843,0.1325,0.043509997,0.095,2.05,0.503,74.388,2.15
HLT,Consumer Cyclical,Lodging,310.41,333.86,196.04,2362300,72150204416,50.8036,29.790428,-13.275597,,0.29411,,0.10042,0.07,0.19,1.11,,3.19
AEP,Utilities,Utilities - Regulated Electric,131.41,132.78,97.46,3680840,71074611200,19.760902,19.264854,2.282573,,0.16364999,0.12486,0.03174,0.132,2.88,0.623,154.237,5.5
COR,Healthcare,Medical Distribution,365.225,377.54,244.97,1155960,71047471104,43.73952,18.611576,37.229866,,0.0049900003,1.33467,0.03325,0.055,0.66,0.685,472.584,4.02
NSC,Industrials,Railroads,314.5,319.94,201.63,1257360,70627901440,24.647335,23.175611,4.5398116,,0.23587999,0.19248,0.0591,-0.017,1.71,1.324,114.742,8.49
TEL,Technology,Electronic Components,239.335,250.67,116.3,1987020,70253314048,34.486313,19.343767,5.4127374,,0.11406,0.16097,0.09392,0.217,1.23,1.235,45.691,2.89
RSG,Industrials,Waste Management,220.72,258.75,201.42,1798830,68326875136,32.174927,27.433254,5.6803155,,0.12893,0.18301001,0.06221,0.022,1.13,0.554,115.348,1.87
AON,Financial Services,Insurance Brokers,317.5,412.97,304.59,2260120,68241944576,18.64357,14.741982,7.282277,,0.21506001,0.4694,0.058870003,0.037,0.95,0.814,168.318,1.8
EOG,Energy,Oil & Gas E&P,122.38,134.49,101.59,5366690,66818670592,12.152929,12.683941,2.1974034,,0.24410999,0.18476999,0.09086,-0.024,3.34,0.472,26.835,3.16
LHX,Industrials,Aerospace & Defense,354.775,369.59,195.72,1083070,66361671680,41.640255,26.143604,3.3759801,,0.07345,0.08191,0.04235,0.023,1.41,0.64,60.611,1.49
APO,Financial Services,Asset Management,114.045,157.28,102.58,6040360,66194292736,16.624636,10.473403,3.0091825,,0.109840006,0.14698,0.01288,0.877,1.79,1.564,31.434,10.36
PCAR,Industrials,Farm & Heavy Construction Machinery,125.725,131.88,84.65,3163820,66118078464,27.876938,18.600435,3.4290195,,0.08352,0.12922,0.043670002,-0.137,1.05,1.044,81.937,4.2
TRV,Financial Services,Insurance - Property & Casualty,302.7,309.37,230.43,1677330,67521302528,11.039388,10.705931,2.0014944,,0.12878,0.20698999,0.03711,0.035,1.44,0.517,28.917,2.21
HOOD,Financial Services,Capital Markets,72.2192,153.86,29.66,39177260,65019551744,35.228878,25.800035,7.1215067,,0.42097,0.21993999,0.05855,0.265,,2.44,136.04,1.58
SPG,Real Estate,REIT - Retail,198.78,203.6,136.34,1606910,74976468992,14.038136,28.02351,12.509754,,0.72792,1.04109,0.05436,0.131,4.32,1.396,435.272,3.6
ROST,Consumer Cyclical,Apparel Retail,199.7,203.31,122.36,2009980,64947687424,31.203125,27.799664,10.98762,,0.0947,0.37425,0.10819,0.104,0.8,0.993,88.181,3.29
BKR,Energy,Oil & Gas Equipment & Services,64.45,64.89,33.6,8297320,63691837440,24.788462,22.228123,3.3768206,,0.09332,0.14552,0.05538,0.003,1.44,0.859,35.255,2.76
AZO,Consumer Cyclical,Auto Parts,3804.865,4388.11,3210.72,113350,63285039104,26.56843,21.681246,-19.545204,,0.12776,,0.119619995,0.082,,0.406,,1.87
APD,Basic Materials,Specialty Chemicals,281.76,321.47,229.11,1514540,62735556608,,20.102983,4.070735,,-0.02733,-0.01667,-0.01105,0.058,2.56,0.888,101.991,3.7
TFC,Financial Services,Banks - Regional,49.51,56.2,33.56,9076740,63335485440,12.960732,9.657736,1.0370324,,0.28803,0.08236,0.00984,0.032,4.15,0.855,,3.14
PSX,Energy,Oil & Gas Refining & Marketing,153.03,163.79,91.01,2430220,61843132416,14.182576,12.254017,2.1100018,,0.03326,0.15427,0.03748,0.013,3.28,0.867,71.38,3.21
O,Real Estate,REIT - Retail,66.375,67.15,50.71,6712990,60939272192,62.032707,41.398216,1.5635674,,0.17135,0.02488,0.02268,0.103,4.86,0.801,73.977,5.2
SRE,Utilities,Utilities - Diversified,93.28,95.74,61.9,3798930,60882132992,28.701538,18.07216,1.953876,,0.15754,0.0677,0.01845,0.135,2.76,0.752,81.287,2.14
DLR,Real Estate,REIT - Specialty,177.18,184.79,129.95,2167810,61978349568,49.630253,52.008053,2.7427244,,0.2152,0.05469,0.01175,0.171,2.77,1.148,81.655,5.1
VLO,Energy,Oil & Gas Refining & Marketing,197.48,206.77,99.0,2269970,61347504128,26.05277,15.381151,2.5357285,,0.01914,0.082779996,,0.039,2.43,0.722,39.561,3.09
MPWR,Technology,Semiconductors,1220.61,1250.0,438.86,531450,59454693376,95.88453,47.227905,15.979917,,0.22073,0.17940001,0.116730005,0.208,0.67,1.455,,4.15
NXPI,Technology,Semiconductors,235.07,256.36,148.09,2701370,59264577536,29.568556,14.036183,5.910737,,0.16472,0.20698999,0.08009,0.072,1.75,1.458,119.711,3.13
AFL,Financial Services,Insurance - Life,111.7935,119.32,96.95,2276720,58592530432,16.39201,14.362957,1.9662915,,0.21242,0.13118,0.025390001,-0.099,2.17,0.662,28.515,3.35
MPC,Energy,Oil & Gas Refining & Marketing,193.6901,210.32,115.1,1868400,58223726592,14.64022,14.041527,3.409977,,0.03033,0.24292,,-0.005,1.98,0.708,143.175,4.09
VST,Utilities,Utilities - Independent Power Producers,168.28,219.82,90.51,5135670,57017556992,60.315414,18.923409,20.844791,,0.06701,0.1731,0.03592,-0.209,0.54,1.443,335.784,1.64
F,Consumer Cyclical,Auto Manufacturers,14.21,14.5,8.44,79778920,56690446336,,7.810568,1.5766116,,-0.04369,-0.20193,-0.00131,-0.048,4.4,1.666,460.639,2.81
URI,Industrials,Rental & Leasing Services,893.105,1021.47,525.91,555630,56828403712,23.155432,16.847757,6.2835865,,0.15492,0.28357,0.08653,0.028,0.89,1.676,174.732,2.34
FTNT,Technology,Software - Infrastructure,75.61,111.31,70.12,7316560,57937375232,31.243801,22.821253,45.41141,,0.27257,1.3571601,0.12866001,0.148,,1.047,80.509,2.87
AJG,Financial Services,Insurance Brokers,213.37,351.23,195.0,3828030,54857424896,37.172474,14.328692,2.351366,,0.11484,0.06906,0.022449998,0.367,1.31,0.658,58.354,2.92
ZTS,Healthcare,Drug Manufacturers - Specialty & Generic,129.06,177.0,115.25,5170120,56875864064,21.402985,17.090282,16.463835,,0.28235,0.65992,0.15255,0.03,1.69,0.961,279.586,3.14
D,Utilities,Utilities - Regulated Electric,63.42,67.57,48.07,6765690,54155177984,20.72549,16.55382,2.0284662,,0.18163,0.09945,,,4.16,0.706,154.315,4.7
ALL,Financial Services,Insurance - Property & Casualty,207.39,216.75,176.0,1865900,54270169088,5.4490275,8.258065,1.8847638,,0.15191,0.39518002,0.064899996,0.051,2.1,0.235,25.091,3.56
AME,Industrials,Specialty Industrial Machinery,234.31,239.94,145.02,1175200,53939068928,36.55382,26.902128,5.049132,,0.19999,0.14594,0.07882,0.134,0.59,1.036,24.194,2.32
CARR,Industrials,Building Products & Equipment,63.93,81.09,50.24,6234240,53410426880,37.81065,20.1111,3.870616,,0.06824,0.10925,0.03526,-0.06,1.51,1.335,87.719,2.36
PSA,Real Estate,REIT - Industrial,302.86,322.49,256.54,1423780,53153882112,33.61376,28.79995,10.851307,,0.36915,0.18763,0.07053,0.033,3.93,0.992,109.763,3.7
GWW,Industrials,Industrial Distribution,1116.31,1218.63,893.99,311970,53395615744,31.534182,23.129076,14.168708,,0.09508,0.46098998,0.19034,0.045,0.81,1.108,69.114,5.79
CAH,Healthcare,Medical Distribution,224.83,230.81,120.72,1451920,52906098688,32.34964,19.418524,-18.398527,,0.00679,,0.03497,0.188,0.91,0.663,,3.02
BDX,Healthcare,Medical Instruments & Supplies,183.39,187.35,127.58648,3961055,66441297920,29.965687,13.594414,2.0654585,,0.08014,0.0696,0.04079,0.016,2.28,0.285,77.284,3.91
KEYS,Technology,Scientific & Technical Instruments,303.64,304.5,121.43,1328590,52170551296,60.486057,30.368132,8.842682,,0.15814,0.1582,0.056999996,0.103,,1.201,47.237,2.67
TGT,Consumer Defensive,Discount Stores,114.9,127.89,83.44,5796860,52210462720,13.927273,14.9814205,3.3563123,,0.03576,0.25094998,0.052410003,-0.016,4.02,1.136,132.062,3.08
CTVA,Basic Materials,Agricultural Inputs,77.34,77.61,53.4,4118030,52261109760,44.194283,19.219347,2.1531181,,0.06287,0.04974,0.03878,-0.017,0.94,0.737,12.282,3.22
FAST,Industrials,Industrial Distribution,45.15,50.63,35.305,7694540,51840290816,41.42202,33.698303,13.144106,,0.15345,0.33291,0.21225001,0.111,2.0,0.885,11.205,3.79
IDXX,Healthcare,Diagnostics & Research,647.94,769.98,356.14,449580,51838242816,49.498856,39.50331,32.1718,,0.24618,0.66202,0.25586998,0.143,,1.66,60.827,3.9
OKE,Energy,Oil & Gas Midstream,82.0,103.64,64.02,4358330,51639988224,15.073529,13.162646,2.3389812,,0.105790004,0.17847,0.062750004,0.719,4.76,0.918,152.218,6.49
TER,Technology,Semiconductor Equipment & Materials,330.08,332.4199,65.77,3168580,52506992640,95.12392,41.115887,18.428898,,0.17368001,0.19734,0.108339995,0.439,0.16,1.821,10.131,1.67
FIX,Industrials,Engineering & Construction,1444.4325,1476.94,276.44,516750,50961674240,61.17884,32.60726,20.715542,,0.112349994,0.49238998,0.14712,0.417,0.16,1.668,19.739,1.9
OXY,Energy,Oil & Gas E&P,51.605,53.33,34.78,13645780,50896289792,38.225925,26.24032,1.8338664,,0.10772,0.05929,0.02743,1.489,1.98,0.371,63.804,3.14
EA,Communication Services,Electronic Gaming & Multimedia,200.83,204.89,128.02,2757760,50258452480,75.217224,21.838772,8.166144,,0.09307,0.10027,0.048070002,0.01,0.38,0.745,36.443,5.04
XEL,Utilities,Utilities - Regulated Electric,83.39,83.95,65.21,5076570,49328500736,24.38304,18.424494,2.328484,,0.13757,0.09916,,0.141,2.74,0.476,167.891,4.61
EXC,Utilities,Utilities - Regulated Electric,48.03,49.11,41.71,10607270,49129529344,17.593407,15.821357,1.7054896,,0.11411,0.09936,0.028380001,-0.011,3.49,0.566,174.488,5.58
MET,Financial Services,Insurance - Life,74.745,87.39,65.21,3621710,49248858112,15.411341,6.8028297,1.7248582,,0.04384,0.12020001,0.00458,0.276,3.02,0.738,225.974,3.23
TRGP,Energy,Oil & Gas Midstream,227.485,233.28,144.14,1664700,48952918016,30.658356,20.338074,15.916946,,0.11293,0.51381,0.086840004,-0.079,1.73,0.868,548.63,5.34
FANG,Energy,Oil & Gas E&P,171.31,177.25,114.0,2272660,49084698624,12.030196,13.382852,1.2572842,,0.28689,0.10901,0.051009998,0.42,2.3,0.584,35.66,4.75
